unitid,name,Classification,state,level,control,Undergraduate Program,Graduate Program,Enrollment Profile,Undergraduate Profile,Size & Setting,Basic,Community Engagement
185572,Monmouth University,MastersCollegesAndUniversities-M1,NJ,Four or more years,Private not-for-profit,Balanced arts & sciences/professions some graduate coexistence,Postbaccalaureate Comprehensive programs,High undergraduate,Four-year full-time selective lower transfer-in,Four-year medium primarily residential,Master's Colleges & Universities Larger Programs,Not Classified
187897,New Mexico Highlands University,MastersCollegesAndUniversities-M1,NM,Four or more years,Public,Professions plus arts & sciences some graduate coexistence,Postbaccalaureate Comprehensive programs,Majority undergraduate,Four-year medium full-time lower transfer-in higher transfer-in,Four-year small primarily residential,Master's Colleges & Universities Larger Programs,Not Classified
228431,Stephen F Austin State University,MastersCollegesAndUniversities-M1,TX,Four or more years,Public,Balanced arts & sciences/professions some graduate coexistence,Research Doctoral Professional-dominant,Very high undergraduate,Four-year full-time inclusive higher transfer-in,Four-year large primarily residential,Master's Colleges & Universities Larger Programs,Not Classified
229018,The University of Texas Permian Basin,MastersCollegesAndUniversities-M1,TX,Four or more years,Public,Balanced arts & sciences/professions some graduate coexistence,Postbaccalaureate Comprehensive programs,High undergraduate,Four-year higher part-time,Four-year small primarily residential,Master's Colleges & Universities Larger Programs,Not Classified
206048,Tiffin University,MastersCollegesAndUniversities-M1,OH,Four or more years,Private not-for-profit,Professions focus some graduate coexistence,Postbaccalaureate Comprehensive programs,High undergraduate,Four-year full-time selective lower transfer-in,Four-year small highly residential,Master's Colleges & Universities Larger Programs,Not Classified
151306,University of Southern Indiana,MastersCollegesAndUniversities-M1,IN,Four or more years,Public,Professions plus arts & sciences some graduate coexistence,Postbaccalaureate Business-dominant with Arts & Sciences,High undergraduate,Four-year full-time inclusive higher transfer-in,Four-year medium primarily residential,Master's Colleges & Universities Larger Programs,Classified
217819,College of Charleston,MastersCollegesAndUniversities-M2,SC,Four or more years,Public,Balanced arts & sciences/professions some graduate coexistence,Postbaccalaureate Business-dominant with Arts & Sciences,Very high undergraduate,Four-year full-time selective lower transfer-in,Four-year medium primarily residential,Master's Colleges & Universities Medium Programs,Not Classified
408844,Florida National University-Main Campus,MastersCollegesAndUniversities-M2,FL,Four or more years,Private for-profit,Professions focus some graduate coexistence,Postbaccalaureate Other-dominant with other professional programs,Very high undergraduate,Four-year medium full-time lower transfer-in higher transfer-in,Four-year small primarily nonresidential,Master's Colleges & Universities Medium Programs,Not Classified
117627,La Sierra University,MastersCollegesAndUniversities-M2,CA,Four or more years,Private not-for-profit,Professions plus arts & sciences some graduate coexistence,Research Doctoral Professional-dominant,High undergraduate,Four-year full-time inclusive higher transfer-in,Four-year small highly residential,Master's Colleges & Universities Medium Programs,Classified
482158,Middle Georgia State University,MastersCollegesAndUniversities-M2,GA,Four or more years,Public,Professions plus arts & sciences some graduate coexistence,Postbaccalaureate Other-dominant with Arts & Sciences,Very high undergraduate,Four-year medium full-time lower transfer-in higher transfer-in,Four-year medium primarily residential,Master's Colleges & Universities Medium Programs,Not Classified
180179,Montana State University Billings,MastersCollegesAndUniversities-M2,MT,Four or more years,Public,Professions plus arts & sciences some graduate coexistence,Postbaccalaureate Education-dominant with Arts & Sciences,Very high undergraduate,Four-year medium full-time lower transfer-in higher transfer-in,Four-year small primarily nonresidential,Master's Colleges & Universities Medium Programs,Not Classified
