name,link
Saint Vincent College,https://athletics.stvincent.edu/?_ga=2.18603321.1815129758.1716902457-987374219.1677875566
North Greenville University,https://nguathletics.com/
Fort Lewis College,https://foundation.fortlewis.edu/give
South Dakota School of Mines and Technology,https://www.sdsmt.edu/give/
South Dakota School of Mines and Technology,https://www.sdsmt.edu/Degrees/
North Greenville University,https://nguathletics.com/
South Dakota School of Mines and Technology,https://www.sdsmt.edu/visit/
South Dakota School of Mines and Technology,https://www.sdsmt.edu/Admissions/Apply/
City Vision University,https://www.google.com/search%3Fq%3DCity%2BVision%2BUniversity%2Bundergraduate%2Bcomputer%2Bscience%2Bcourses%2B2022-2023%26sca_esv%3D2c6f63ed83ad38b8%26source%3Dhp%26ei%3D7OmJZumSH47ZkPIPu4S_wAU%26iflsig%3DAL9hbdgAAAAAZon3_NXYP2TOzWbJMFKLNzTWV8II9EZb%26ved%3D0ahUKEwjpuJSt3pOHAxWOLEQIHTvCD1gQ4dUDCA8%26uact%3D5%26oq%3DCity%2BVision%2BUniversity%2Bundergraduate%2Bcomputer%2Bscience%2Bcourses%2B2022-2023%26gs_lp%3DEgdnd3Mtd2l6IkdDaXR5IFZpc2lvbiBVbml2ZXJzaXR5IHVuZGVyZ3JhZHVhdGUgY29tcHV0ZXIgc2NpZW5jZSBjb3Vyc2VzIDIwMjItMjAyM0h6UABYWXAAeACQAQCYAQCgAQCqAQC4AQPIAQD4AQGYAgCgAgCYAwCSBwCgBwA%26sclient%3Dgws-wiz&ec=futura_gmv_dt_so_72586115_e
Santa Fe College,https://www.sfcollege.edu/javascript:void(0);
East Stroudsburg University of Pennsylvania,https://esu.smartcatalogiq.com/javascript:window.print()
Louisiana State University-Alexandria,http://catalog.lsua.edu/legal/privacy-policy
Millikin University,https://athletics.millikin.edu/
Southern Oregon University,https://souraiders.com/
SUNY Maritime College,http://maritimeathletics.com/
Harding University,https://www.harding.edu/javascript:void(0)
Future Generations University,https://www.future.edu/javascript:void(0);
South Dakota School of Mines and Technology,https://www.sdsmt.edu/Controls/#
FIDM-Fashion Institute of Design & Merchandising-San Francisco,https://fidm.edu/javascript:void(0)
South Dakota School of Mines and Technology,https://www.sdsmt.edu/give/
Saint Vincent College,https://athletics.stvincent.edu/
South Dakota School of Mines and Technology,https://www.sdsmt.edu/Degrees/
Oakland City University,https://gomightyoaks.com/
South Dakota School of Mines and Technology,https://www.sdsmt.edu/visit/
South Dakota School of Mines and Technology,https://www.sdsmt.edu/Admissions/Apply/
South Dakota School of Mines and Technology,https://www.sdsmt.edu/Controls/#
Nicholls State University,https://geauxcolonels.com/
University of Central Oklahoma,https://bronchosports.com/
South Dakota School of Mines and Technology,https://www.sdsmt.edu/Campus-Life/
South Dakota School of Mines and Technology,https://www.gorockers.com
South Dakota School of Mines and Technology,https://www.sdsmt.edu/Research/
Northwest Nazarene University,https://nnusports.com/
Southern California Institute of Architecture,https://www.sciarc.edu/javascript:void(0);
Saint Vincent College,https://www.stvincent.edu/computer-science.html
Mississippi University for Women,https://www.muw.edu/news-events
Lake Tahoe Community College,https://www.ltcc.edu/mailto:enrollmentservices@ltcc.edu
Eastern Oregon University,https://www.eou.edu/advising/current-program-checksheets/
Lake Tahoe Community College,https://www.ltcc.edu/tel:1-530-541-4660
Eastern Oregon University,https://www.eou.edu/institutional-effectiveness/accreditation/
South Dakota School of Mines and Technology,https://www.sdsmt.edu/Campus-Life/
South Dakota School of Mines and Technology,https://www.gorockers.com
South Dakota School of Mines and Technology,https://www.sdsmt.edu/Research/
University of Northern Iowa,https://catalog.uni.edu/cs.pdf
Saint Vincent College,https://www.stvincent.edu/tel:8007825549
Nicholls State University,https://geauxcolonels.com/
Saint Vincent College,https://www.stvincent.edu/mailto:admission@stvincent.edu
Ottawa University-Kansas City,https://www.ottawa.edu/tel:+18557747713
Villanova University,https://villanova.com
Louisiana State University-Alexandria,https://www.lsuagenerals.com
Eastern Oregon University,https://eousports.com
Ottawa University-Kansas City,https://www.ottawa.edu/tel:+18555461342
Remington College-Memphis Campus,https://www.remingtoncollege.edu/tel:972-686-7878
Mount Aloysius College,https://mountieathletics.com/?utm_source=website&utm_medium=navigation&utm_campaign=audience_menu
Lake Tahoe Community College,https://www.ltcc.edu/tel:530-541-4660
Ottawa University-Kansas City,https://www.ottawa.edu/tel:+18557747714
Universal Technical Institute-Southern California,https://www.uti.edu/tel:+18008347308
Lee University,https://www.leeuflames.com
