name,link,error
Villanova University,https://www1.villanova.edu/#vu-main-content,HTTP Error 403: Forbidden
CUNY Graduate School and University Center,https://www.cloudflare.com/5xx-error-landing,HTTP Error 403: Forbidden
Villanova University,https://www1.villanova.edu/university.html,HTTP Error 403: Forbidden
North Greenville University,https://www.ngu.edu/opt-out-preferences/#cmplz-manage-consent-container,HTTP Error 403: Forbidden
Villanova University,https://www1.villanova.edu/university/visit.html,HTTP Error 403: Forbidden
North Greenville University,https://www.ngu.edu/opt-out-preferences/#cmplz-cookies-overview,HTTP Error 403: Forbidden
North Greenville University,https://www.ngu.edu/opt-out-preferences/#cmplz-tcf-wrapper,HTTP Error 403: Forbidden
North Greenville University,https://cookiedatabase.org/tcf/purposes/,HTTP Error 403: Forbidden
Villanova University,https://www1.villanova.edu/university/apply.html,HTTP Error 403: Forbidden
North Greenville University,https://www.ngu.edu/opt-out-preferences/#cmplz-manage-consent-container,HTTP Error 403: Forbidden
North Greenville University,https://www.ngu.edu/opt-out-preferences/,HTTP Error 403: Forbidden
Arizona State University Campus Immersion,https://scai.engineering.asu.edu/#main-content,HTTP Error 403: Forbidden
North Greenville University,https://www.ngu.edu/privacy-policy/,HTTP Error 403: Forbidden
Villanova University,https://www1.villanova.edu/university/give.html,HTTP Error 403: Forbidden
North Greenville University,https://www.ngu.edu/#,HTTP Error 403: Forbidden
Saint Vincent College,https://www.stvincent.edu/../../../news/index.html,HTTP Error 400: Bad Request
North Greenville University,https://www.ngu.edu,HTTP Error 403: Forbidden
Villanova University,https://www1.villanova.edu/javascript:void(0),HTTP Error 403: Forbidden
North Greenville University,https://www.ngu.edu/academics/,HTTP Error 403: Forbidden
North Greenville University,https://www.ngu.edu/program-search/,HTTP Error 403: Forbidden
Arizona State University Campus Immersion,https://engineering.asu.edu,HTTP Error 403: Forbidden
North Greenville University,https://www.ngu.edu/about/our-colleges/,HTTP Error 403: Forbidden
Arizona State University Campus Immersion,https://scai.engineering.asu.edu,HTTP Error 403: Forbidden
North Greenville University,https://www.ngu.edu/academics/undergraduate-study/,HTTP Error 403: Forbidden
Saint Vincent College,https://athletics.stvincent.edu/?_ga=2.18603321.1815129758.1716902457-987374219.1677875566,HTTP Error 404: Not Found
Arizona State University Campus Immersion,https://scai.engineering.asu.edu/computer-science-bs/concentrations/,HTTP Error 403: Forbidden
Villanova University,https://www1.villanova.edu/university/visit.html,HTTP Error 403: Forbidden
Arizona State University Campus Immersion,http://engineering.asu.edu/visit/,HTTP Error 403: Forbidden
North Greenville University,https://www.ngu.edu/academics/graduate/,HTTP Error 403: Forbidden
North Greenville University,https://www.ngu.edu/academics/online-study/,HTTP Error 403: Forbidden
Oakland City University,https://www.oak.edu/,HTTP Error 403: Forbidden
North Greenville University,https://www.ngu.edu/academics/hester-memorial-library/,HTTP Error 403: Forbidden
Oakland City University,https://www.oak.edu/alumni-friends/,HTTP Error 403: Forbidden
North Greenville University,https://www.ngu.edu/academics/academic-centers/,HTTP Error 403: Forbidden
Villanova University,https://www1.villanova.edu/university/apply.html,HTTP Error 403: Forbidden
Saint Vincent College,https://www.stvincent.edu/../../../give-to-svc/index.html,HTTP Error 400: Bad Request
Nash Community College,https://ss-prod-cloud.nashcc.edu/#main-content,HTTP Error 403: Forbidden
North Greenville University,https://www.ngu.edu/life-at-ngu/,HTTP Error 403: Forbidden
North Greenville University,https://www.ngu.edu/life-at-ngu/leading-with-faith/,HTTP Error 403: Forbidden
Oakland City University,https://www.oak.edu/,HTTP Error 403: Forbidden
Southern Oregon University,https://sou.edu/#main,HTTP Error 403: Forbidden
North Greenville University,https://www.ngu.edu/life-at-ngu/campus-life/,HTTP Error 403: Forbidden
Oakland City University,https://www.oak.edu/admissions/apply-now/,HTTP Error 403: Forbidden
Villanova University,https://www1.villanova.edu/university/give.html,HTTP Error 403: Forbidden
Southern Oregon University,https://sou.edu/president/leadership/,HTTP Error 403: Forbidden
North Greenville University,https://www.ngu.edu/life-at-ngu/beyond-our-campus/,HTTP Error 403: Forbidden
Oakland City University,https://www.oak.edu/admissions/visit-campus/,HTTP Error 403: Forbidden
Nicholls State University,https://www.nicholls.edu/#content,HTTP Error 403: Forbidden
North Greenville University,https://www.ngu.edu/life-at-ngu/services/,HTTP Error 403: Forbidden
Southern Oregon University,https://news.sou.edu,HTTP Error 403: Forbidden
Nash Community College,https://ss-prod-cloud.nashcc.edu/Student/Home/Sitemap,HTTP Error 500: Internal Server Error
Oakland City University,https://www.oak.edu/admissions/request-more-information/,HTTP Error 403: Forbidden
North Greenville University,https://www.ngu.edu/admissions/,HTTP Error 403: Forbidden
Oakland City University,https://www.oak.edu/give,HTTP Error 403: Forbidden
North Greenville University,https://www.ngu.edu/admissions/visit/,HTTP Error 403: Forbidden
Villanova University,https://www1.villanova.edu/javascript:void(0),HTTP Error 403: Forbidden
North Greenville University,https://www.ngu.edu/admissions/how-to-apply/,HTTP Error 403: Forbidden
Oakland City University,https://www.oak.edu/about/,HTTP Error 403: Forbidden
Nicholls State University,https://www.nicholls.edu/faculty-staff,HTTP Error 403: Forbidden
North Greenville University,https://www.ngu.edu/admissions/tuition-fees/,HTTP Error 403: Forbidden
Oakland City University,https://www.oak.edu/about/,HTTP Error 403: Forbidden
North Greenville University,https://www.ngu.edu/admissions/financial-aid/,HTTP Error 403: Forbidden
Oakland City University,https://www.oak.edu/about/fast-facts/,HTTP Error 403: Forbidden
University of Central Oklahoma,https://www.uco.edu/#,HTTP Error 403: Forbidden
North Greenville University,https://www.ngu.edu/admissions/undergraduate-admission-faqs/,HTTP Error 403: Forbidden
Nicholls State University,https://www.nicholls.edu/current-students,HTTP Error 403: Forbidden
Villanova University,https://www1.villanova.edu/#globalnav-v2,HTTP Error 403: Forbidden
Saint Vincent College,https://www.stvincent.edu/../../../admission-aid/request-info.html,HTTP Error 400: Bad Request
Arizona State University Campus Immersion,https://engineering.asu.edu/,HTTP Error 403: Forbidden
Oakland City University,https://www.oak.edu/about/accreditation/,HTTP Error 403: Forbidden
