name,link,error
Claremont Graduate University,https://www.cgu.edu/,"[Errno 8] nodename nor servname provided, or not known"
Mission College,https://missioncollege.edu/#main,HTTP Error 403: Forbidden
Bluffton University,https://www.findlayblufftonfuture.com/,HTTP Error 403: Forbidden
Mission College,https://missioncollege.edu,HTTP Error 403: Forbidden
North Idaho College,https://www.nic.edu/mailto:accessibility@nic.edu,HTTP Error 404: Not Found
Alderson Broaddus University,https://free-apply.com/en,HTTP Error 403: Forbidden
DePaul University,https://www.cdm.depaul.edu/#ctl00_PageBody,HTTP Error 418: 
Princeton University,https://www.princeton.edu,HTTP Error 403: Forbidden
Oglethorpe University,https://oglethorpe.edu/,HTTP Error 403: Forbidden
Lynn University,https://www.lynn.edu/#page-maincontent,HTTP Error 403: Forbidden
River Parishes Community College,https://www.rpcc.edu/#main,HTTP Error 403: Forbidden
Lower Columbia College,https://services4.lowercolumbia.edu/employees/,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)
Mission College,https://missioncollege.edu/a-z.html,HTTP Error 403: Forbidden
Edward Waters University,https://www.ew.edu/#content,HTTP Error 403: Forbidden
River Parishes Community College,https://www.rpcc.edu/,HTTP Error 403: Forbidden
Lindenwood University,https://lindenwood.smartcatalogiq.com/javascript:window.print(),HTTP Error 404: Not Found
Mission College,https://missioncollege.edu/campus-life/starfish.html,HTTP Error 403: Forbidden
DePaul University,https://www.cdm.depaul.edu/about/Pages/alert.aspx,HTTP Error 418: 
Great Basin College,https://www.gbcnv.edu/javascript:void(0),HTTP Error 404: Not Found
Alderson Broaddus University,https://free-apply.com/en/auth/student/login,HTTP Error 403: Forbidden
University of Michigan-Dearborn,https://umdearborn.edu/#main,HTTP Error 403: Forbidden
Oglethorpe University,https://oglethorpe.edu/academics/,HTTP Error 403: Forbidden
Mission College,https://web.wvm.edu/#/canvas,HTTP Error 403: Forbidden
Central Wyoming College,https://www.cwc.edu/#content,HTTP Error 403: Forbidden
River Parishes Community College,https://www.rpcc.edu/#,HTTP Error 403: Forbidden
Bryant & Stratton College-Albany,https://www.bryantstratton.edu/student-experience/athletics/,HTTP Error 403: Forbidden
Mission College,https://missioncollege.edu/catalog/,HTTP Error 403: Forbidden
Claremont Graduate University,https://my.cgu.edu/#,HTTP Error 403: Forbidden
Lynn University,https://www.lynn.edu/,HTTP Error 403: Forbidden
American University of Puerto Rico,https://inter.smartcatalogiq.com/tel:+17877661912,HTTP Error 404: Not Found
University of Maryland Global Campus,https://apply.umgc.edu,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)
Washington & Jefferson College,https://accessibe.com/blog/knowledgebase/screen-reader-guide,HTTP Error 403: Forbidden
Edward Waters University,https://www.ew.edu/javascript:void(0);,HTTP Error 403: Forbidden
University of Michigan-Dearborn,https://umdearborn.edu/mailto:umd-servicedesk@umich.edu,HTTP Error 403: Forbidden
Mission College,https://missioncollege.edu/class_schedule/index.html,HTTP Error 403: Forbidden
Oglethorpe University,https://oglethorpe.edu/experience/,HTTP Error 403: Forbidden
Linfield University-McMinnville Campus,https://catalog.linfield.edu/azindex/,HTTP Error 404: Not Found
Edward Waters University,https://www.ew.edu/#,HTTP Error 403: Forbidden
Alderson Broaddus University,https://free-apply.com/en/auth/student/register,HTTP Error 403: Forbidden
Lynn University,https://www.lynn.edu/,HTTP Error 403: Forbidden
Mission College,https://missioncollege.edu/gen_info/contact.html,HTTP Error 403: Forbidden
River Parishes Community College,https://www.rpcc.edu/about-us,HTTP Error 403: Forbidden
Johnson & Wales University-Providence,https://www.jwu.edu/../../index.html,HTTP Error 403: Forbidden
Central Wyoming College,https://www.cwc.edu/#,HTTP Error 403: Forbidden
Claremont Graduate University,https://my.cgu.edu/#header-search-form,HTTP Error 403: Forbidden
University of Michigan-Dearborn,https://umdearborn.edu/cecs,HTTP Error 403: Forbidden
Bryant & Stratton College-Albany,https://www.bryantstratton.edu/newsroom/,HTTP Error 403: Forbidden
Central Wyoming College,https://www.cwc.edu/,HTTP Error 403: Forbidden
Community College of Vermont,https://ccv.edu/covid-19/,HTTP Error 403: Forbidden
Claremont Graduate University,https://my.cgu.edu/javascript:void(0),HTTP Error 403: Forbidden
Mission College,https://missioncollege.edu/lib/index.html,HTTP Error 403: Forbidden
Washington & Jefferson College,https://www.cookiebot.com/en/what-is-behind-powered-by-cookiebot/,HTTP Error 403: Forbidden
Bowling Green State University-Main Campus,https://www.bgsu.edu/javascript:void(0),HTTP Error 404: Not Found
Claremont Graduate University,https://my.cgu.edu/,HTTP Error 403: Forbidden
Oglethorpe University,https://oglethorpe.edu/athletics/,HTTP Error 403: Forbidden
Edward Waters University,https://www.ew.edu/#,HTTP Error 403: Forbidden
Cabrini University,https://banner.cabrini.edu/twbkwbis.P_Logout,HTTP Error 404: 
River Parishes Community College,https://www.rpcc.edu/campuses/index,HTTP Error 403: Forbidden
Lynn University,https://www.lynn.edu/academics,HTTP Error 403: Forbidden
University of Michigan-Dearborn,https://umdearborn.edu/cecs/undergraduate-programs,HTTP Error 403: Forbidden
Lynn University,https://www.lynn.edu/academics/catalog,HTTP Error 403: Forbidden
Washington & Jefferson College,https://www.washjeff.edu/#,HTTP Error 403: Forbidden
Central Wyoming College,https://www.cwc.edu/jackson/,HTTP Error 403: Forbidden
Mission College,https://web.wvm.edu/#/,HTTP Error 403: Forbidden
University of Arkansas-Fort Smith,https://uafortsmithlions.com,HTTP Error 404: Not Found
Bryant & Stratton College-Albany,https://www.bryantstratton.edu/schedule-a-visit/,HTTP Error 403: Forbidden
Claremont Graduate University,https://my.cgu.edu/students/,HTTP Error 403: Forbidden
