name,link,error
River Parishes Community College,https://www.rpcc.edu/#main,HTTP Error 403: Forbidden
River Parishes Community College,https://www.rpcc.edu/,HTTP Error 403: Forbidden
River Parishes Community College,https://www.rpcc.edu/#,HTTP Error 403: Forbidden
River Parishes Community College,https://www.rpcc.edu/about-us,HTTP Error 403: Forbidden
River Parishes Community College,https://www.rpcc.edu/campuses/index,HTTP Error 403: Forbidden
River Parishes Community College,https://www.rpcc.edu/about-us/departments-offices,HTTP Error 403: Forbidden
Lower Columbia College,https://services4.lowercolumbia.edu/employees/,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)
Princeton University,https://www.princeton.edu,HTTP Error 403: Forbidden
River Parishes Community College,https://www.rpcc.edu/about-us/people,HTTP Error 403: Forbidden
River Parishes Community College,https://www.rpcc.edu/about-us/institutional-research-and-effectiveness/index,HTTP Error 403: Forbidden
Great Basin College,https://www.gbcnv.edu/javascript:void(0),HTTP Error 404: Not Found
River Parishes Community College,https://www.rpcc.edu/about-us/policies-procedures/index,HTTP Error 403: Forbidden
River Parishes Community College,https://www.rpcc.edu/about-us/rpcc-foundation,HTTP Error 403: Forbidden
River Parishes Community College,https://www.rpcc.edu/#,HTTP Error 403: Forbidden
Bryant & Stratton College-Albany,https://www.bryantstratton.edu/student-experience/athletics/,HTTP Error 403: Forbidden
River Parishes Community College,https://www.rpcc.edu/programs,HTTP Error 403: Forbidden
Alderson Broaddus University,https://free-apply.com/en,HTTP Error 403: Forbidden
Bryant & Stratton College-Albany,https://www.bryantstratton.edu/newsroom/,HTTP Error 403: Forbidden
North Idaho College,https://www.nic.edu/mailto:accessibility@nic.edu,HTTP Error 404: Not Found
River Parishes Community College,https://www.rpcc.edu/academics/academic-programs,HTTP Error 403: Forbidden
Bryant & Stratton College-Albany,https://www.bryantstratton.edu/schedule-a-visit/,HTTP Error 403: Forbidden
River Parishes Community College,https://www.rpcc.edu/workforce-training/workforce-and-career-training,HTTP Error 403: Forbidden
Bryant & Stratton College-Albany,https://www.bryantstratton.edu/continuing-education/,HTTP Error 403: Forbidden
River Parishes Community College,https://www.rpcc.edu/adult-education/index,HTTP Error 403: Forbidden
Bryant & Stratton College-Albany,https://www.bryantstratton.edu/tel:1.866.948.0571,HTTP Error 403: Forbidden
Lindenwood University,https://lindenwood.smartcatalogiq.com/javascript:window.print(),HTTP Error 404: Not Found
River Parishes Community College,https://www.rpcc.edu/#,HTTP Error 403: Forbidden
Bryant & Stratton College-Albany,https://www.bryantstratton.edu/#,HTTP Error 403: Forbidden
River Parishes Community College,https://www.rpcc.edu/academics/academic-calendars,HTTP Error 403: Forbidden
Bryant & Stratton College-Albany,https://www.bryantstratton.edu/#,HTTP Error 403: Forbidden
River Parishes Community College,https://www.rpcc.edu/student-services/success-coaches,HTTP Error 403: Forbidden
Wilmington College,https://wilmingtonquakers.com,HTTP Error 404: Not Found
River Parishes Community College,https://www.rpcc.edu/academics/catalogs/,HTTP Error 403: Forbidden
Bryant & Stratton College-Albany,https://www.bryantstratton.edu/javascript:void(0);,HTTP Error 403: Forbidden
Cabrini University,https://banner.cabrini.edu/twbkwbis.P_Logout,HTTP Error 404: 
New College of Florida,https://www.ncf.edu/,HTTP Error 403: Forbidden
River Parishes Community College,https://www.rpcc.edu/student-services/course-scheduling,HTTP Error 403: Forbidden
Bryant & Stratton College-Albany,https://www.bryantstratton.edu,HTTP Error 403: Forbidden
Alderson Broaddus University,https://free-apply.com/en/auth/student/login,HTTP Error 403: Forbidden
River Parishes Community College,https://www.rpcc.edu/financial-aid/index,HTTP Error 403: Forbidden
Bryant & Stratton College-Albany,https://www.bryantstratton.edu/degrees/,HTTP Error 403: Forbidden
Johnson & Wales University-Providence,https://www.jwu.edu/../../index.html,HTTP Error 403: Forbidden
River Parishes Community College,https://www.rpcc.edu/admissions/test-assessments,HTTP Error 403: Forbidden
Bryant & Stratton College-Albany,https://www.bryantstratton.edu/#,HTTP Error 403: Forbidden
River Parishes Community College,https://www.rpcc.edu/student-services/student-forms,HTTP Error 403: Forbidden
Bryant & Stratton College-Albany,https://www.bryantstratton.edu/degrees/,HTTP Error 403: Forbidden
River Parishes Community College,https://www.rpcc.edu/academics/bookstore,HTTP Error 403: Forbidden
Bryant & Stratton College-Albany,https://www.bryantstratton.edu/request-info/,HTTP Error 403: Forbidden
River Parishes Community College,https://www.rpcc.edu/finance-and-administration/bursars-office,HTTP Error 403: Forbidden
DePaul University,https://www.cdm.depaul.edu/#ctl00_PageBody,HTTP Error 418: 
Bryant & Stratton College-Albany,https://www.bryantstratton.edu/degrees/associate-degrees/,HTTP Error 403: Forbidden
River Parishes Community College,https://www.rpcc.edu/#,HTTP Error 403: Forbidden
University of Michigan-Dearborn,https://umdearborn.edu/#main,HTTP Error 403: Forbidden
University of Michigan-Dearborn,https://umdearborn.edu/mailto:umd-servicedesk@umich.edu,HTTP Error 403: Forbidden
Bryant & Stratton College-Albany,https://www.bryantstratton.edu/degrees/bachelor-degrees/,HTTP Error 403: Forbidden
River Parishes Community College,https://www.rpcc.edu/admissions/index,HTTP Error 403: Forbidden
Mission College,https://missioncollege.edu/#main,HTTP Error 403: Forbidden
Claremont Graduate University,https://www.cgu.edu/,HTTP Error 403: Forbidden
DePaul University,https://www.cdm.depaul.edu/about/Pages/alert.aspx,HTTP Error 418: 
Alderson Broaddus University,https://free-apply.com/en/auth/student/register,HTTP Error 403: Forbidden
University of Michigan-Dearborn,https://umdearborn.edu/cecs,HTTP Error 403: Forbidden
Bryant & Stratton College-Albany,https://www.bryantstratton.edu/degrees/diplomas/,HTTP Error 403: Forbidden
River Parishes Community College,https://www.rpcc.edu/admissions/apply-online,HTTP Error 403: Forbidden
Mission College,https://missioncollege.edu,HTTP Error 403: Forbidden
Bryant & Stratton College-Albany,https://www.bryantstratton.edu/continuing-education/,HTTP Error 403: Forbidden
University of Michigan-Dearborn,https://umdearborn.edu/cecs/undergraduate-programs,HTTP Error 403: Forbidden
River Parishes Community College,https://www.rpcc.edu/student-services/accessibility-services/accommodations,HTTP Error 403: Forbidden
Mission College,https://missioncollege.edu/a-z.html,HTTP Error 403: Forbidden
Bryant & Stratton College-Albany,https://www.bryantstratton.edu/degrees/business/,HTTP Error 403: Forbidden
Claremont Graduate University,https://my.cgu.edu/#,HTTP Error 403: Forbidden
University of Michigan-Dearborn,https://umdearborn.edu/cecs/undergraduate-programs/majors-and-minors,HTTP Error 403: Forbidden
River Parishes Community College,https://www.rpcc.edu/admissions/dual-enrollment,HTTP Error 403: Forbidden
Claremont Graduate University,https://my.cgu.edu/#header-search-form,HTTP Error 403: Forbidden
Bryant & Stratton College-Albany,https://www.bryantstratton.edu/degrees/education/,HTTP Error 403: Forbidden
University of Michigan-Dearborn,https://umdearborn.edu/cecs/undergraduate-programs/engineering-learning-center,HTTP Error 403: Forbidden
Mission College,https://missioncollege.edu/campus-life/starfish.html,HTTP Error 403: Forbidden
River Parishes Community College,https://www.rpcc.edu/financial-aid/index,HTTP Error 403: Forbidden
Bluffton University,https://www.findlayblufftonfuture.com/,HTTP Error 403: Forbidden
Mission College,https://web.wvm.edu/#/canvas,HTTP Error 403: Forbidden
Claremont Graduate University,https://my.cgu.edu/javascript:void(0),HTTP Error 403: Forbidden
Bowling Green State University-Main Campus,https://www.bgsu.edu/javascript:void(0),HTTP Error 404: Not Found
Bryant & Stratton College-Albany,https://www.bryantstratton.edu/degrees/healthcare/,HTTP Error 403: Forbidden
River Parishes Community College,https://www.rpcc.edu/student-services/new-student-orientation,HTTP Error 403: Forbidden
University of Michigan-Dearborn,https://umdearborn.edu/cecs/undergraduate-programs/admission-transfer-information,HTTP Error 403: Forbidden
Bryant & Stratton College-Albany,https://www.bryantstratton.edu/degrees/hospitality/,HTTP Error 403: Forbidden
Claremont Graduate University,https://my.cgu.edu/,HTTP Error 403: Forbidden
Mission College,https://missioncollege.edu/catalog/,HTTP Error 403: Forbidden
River Parishes Community College,http://recruitce.lctcs.edu/RPCC/Account/ProspectInquiry?f=f84c25a1-8e02-4b55-b68b-f349b8f45760&o=49f50c82-4eec-4840-9f7f-b3af00c5d7e0&s=669f501a-ff47-e811-8108-005056a6c628,HTTP Error 403: Forbidden
University of Michigan-Dearborn,https://umdearborn.edu/cecs/undergraduate-programs/undergraduate-advising,HTTP Error 403: Forbidden
Alderson Broaddus University,https://free-apply.com/en,HTTP Error 403: Forbidden
Mission College,https://missioncollege.edu/class_schedule/index.html,HTTP Error 403: Forbidden
University of Michigan-Dearborn,https://umdearborn.edu/cecs/undergraduate-programs/co-op-education,HTTP Error 403: Forbidden
River Parishes Community College,https://www.rpcc.edu/testing-center,HTTP Error 403: Forbidden
Claremont Graduate University,https://my.cgu.edu/students/,HTTP Error 403: Forbidden
Bryant & Stratton College-Albany,https://www.bryantstratton.edu/degrees/legal-services/,HTTP Error 403: Forbidden
North Idaho College,https://www.nicathletics.com/,HTTP Error 403: Forbidden
University of Michigan-Dearborn,https://umdearborn.edu/cecs/undergraduate-programs/scholarships,HTTP Error 403: Forbidden
Mission College,https://missioncollege.edu/gen_info/contact.html,HTTP Error 403: Forbidden
Bryant & Stratton College-Albany,https://www.bryantstratton.edu/degrees/marketing-design/,HTTP Error 403: Forbidden
River Parishes Community College,https://www.rpcc.edu/finance-and-administration/tuition-and-fees-schedule,HTTP Error 403: Forbidden
Claremont Graduate University,https://my.cgu.edu/faculty/,HTTP Error 403: Forbidden
New College of Florida,https://ncf.edu/why-new/,HTTP Error 403: Forbidden
University of Michigan-Dearborn,https://umdearborn.edu/cecs/undergraduate-programs/study-abroad,HTTP Error 403: Forbidden
Mission College,https://missioncollege.edu/lib/index.html,HTTP Error 403: Forbidden
Dickinson State University,https://dickinsonstate.smartcatalogiq.com/javascript:window.print(),HTTP Error 404: Not Found
Pacific Bible College,https://cdn.prod.website-files.com/63f6703947b99f64ee3a6e73/667366ad0ccf7237c1d38571_2024-2025-PBC-STU-CAT-%26-HNDBK-MASTER-FINAL-06-29-2024.pdf,HTTP Error 403: Forbidden
Linfield University-McMinnville Campus,https://catalog.linfield.edu/azindex/,HTTP Error 404: Not Found
New College of Florida,https://ncf.edu/academics/,HTTP Error 403: Forbidden
Bryant & Stratton College-Albany,https://www.bryantstratton.edu/degrees/nursing/,HTTP Error 403: Forbidden
Claremont Graduate University,https://my.cgu.edu/staff/,HTTP Error 403: Forbidden
University of Michigan-Dearborn,https://umdearborn.edu/cecs/undergraduate-programs/international-programs,HTTP Error 403: Forbidden
Mission College,https://web.wvm.edu/#/,HTTP Error 403: Forbidden
New College of Florida,https://ncf.edu/admissions/,HTTP Error 403: Forbidden
Claremont Graduate University,https://my.cgu.edu/communities/,HTTP Error 403: Forbidden
Bryant & Stratton College-Albany,https://www.bryantstratton.edu/degrees/technology/,HTTP Error 403: Forbidden
University of Michigan-Dearborn,https://umdearborn.edu/cecs/undergraduate-programs/experiential-honors-program,HTTP Error 403: Forbidden
Claremont Graduate University,https://my.cgu.edu/schools/,HTTP Error 403: Forbidden
Mission College,https://wvmccd.sharepoint.com/Pages/myportal.aspx,HTTP Error 403: Forbidden
New College of Florida,https://ncf.edu/life-at-new/,HTTP Error 403: Forbidden
University of Michigan-Dearborn,https://umdearborn.edu/cecs/undergraduate-programs/grand-challenge-scholars-program,HTTP Error 403: Forbidden
Bryant & Stratton College-Albany,https://www.bryantstratton.edu/degrees/catalog/,HTTP Error 403: Forbidden
Edward Waters University,https://www.ew.edu/#content,HTTP Error 403: Forbidden
New College of Florida,https://ncf.edu/visit/,HTTP Error 403: Forbidden
Mission College,https://missioncollege.edu/admissions/index.html,HTTP Error 403: Forbidden
Alderson Broaddus University,https://free-apply.com/en/articles/country/6252001,HTTP Error 403: Forbidden
University of Michigan-Dearborn,https://umdearborn.edu/cecs/graduate-programs,HTTP Error 403: Forbidden
Claremont Graduate University,https://my.cgu.edu/applications/,HTTP Error 403: Forbidden
Edward Waters University,https://www.ew.edu/javascript:void(0);,HTTP Error 403: Forbidden
Syracuse University,"https://www.facebook.com/sharer/sharer.php?u=http%3A%2F%2Fcoursecatalog.syr.edu%2Fpreview_program.php%3Fcatoid%3D38%26poid%3D19219&t=I just discovered 'Computer Science, BS' at Syracuse University","URL can't contain control characters. ""/sharer/sharer.php?u=http%3A%2F%2Fcoursecatalog.syr.edu%2Fpreview_program.php%3Fcatoid%3D38%26poid%3D19219&t=I just discovered 'Computer Science, BS' at Syracuse University"" (found at least ' ')"
Syracuse University,http://twitter.com/intent/tweet?u=u=http%3A%2F%2Fcoursecatalog.syr.edu%2Fpreview_program.php%3Fcatoid%3D38%26poid%3D19219&t=Check out this program at Syracuse University,URL can't contain control characters. '/intent/tweet?u=u=http%3A%2F%2Fcoursecatalog.syr.edu%2Fpreview_program.php%3Fcatoid%3D38%26poid%3D19219&t=Check out this program at Syracuse University' (found at least ' ')
Mission College,https://missioncollege.edu/admissions/index.html,HTTP Error 403: Forbidden
