University Name ,Page ,title,Privacy related content 
University of California-Merced,Sub Link,"Privacy Statement | University of California, Merced","Privacy Statement | University of California, Merced"
University of California-Merced,Sub Link,"Privacy Statement | University of California, Merced",Privacy Statement
University of California-Merced,Sub Link,"Privacy Statement | University of California, Merced",Google Privacy Center - Privacy Policy
University of California-Merced,Sub Link,"Privacy Statement | University of California, Merced","This UC Merced website provides links to other websites with the university domain (.ucmerced.edu), University of California system sites and external sites. UC Merced is not responsible for the privacy practices or the content of such websites."
Shoreline Community College,Sub Link,Privacy Notice  | Shoreline Community College,Privacy Notice  | Shoreline Community College
Miami University-Middletown,Sub Link,Privacy Statement | Miami University,Privacy Statement | Miami University
Miami University-Middletown,Sub Link,Privacy Statement | Miami University,Privacy Statement
Miami University-Middletown,Sub Link,Privacy Statement | Miami University,Miami Cares About Your Privacy
Miami University-Middletown,Sub Link,Privacy Statement | Miami University,Web Privacy Policy
Miami University-Middletown,Sub Link,Privacy Statement | Miami University,"Miami University is committed to ensuring the privacy and accuracy of your confidential information. We do not actively share personal information gathered from our Web servers. However, because Miami is a public institution, some information collected from the university website, including information from our server logs, e-mails delivered to the university, and information collected from Web-based forms, may be subject to the Ohio Public Records Act. This means that while we do not actively share information, in some cases we may be compelled by law to release information gathered from our Web servers."
Miami University-Middletown,Sub Link,Privacy Statement | Miami University,Privacy and Public Records Requests
Miami University-Middletown,Sub Link,Privacy Statement | Miami University,infoprivacy@miamioh.edu
Miami University-Middletown,Sub Link,Privacy Statement | Miami University,"Within our website there are links to non-Miami websites. When you link to third-party websites, you leave Miami's website and no longer will be subject to our privacy policy. Miami University is not responsible for the privacy practices or the content of non-Miami websites, and such links are not intended to be an endorsement of those sites nor their content."
Miami University-Middletown,Sub Link,Privacy Statement | Miami University,"European Union General Data Protection Regulation (""EU GDPR"") Privacy Notice"
Miami University-Middletown,Sub Link,Privacy Statement | Miami University,"When subject to the EU GDPR, Miami University must comply with the regulation's core privacy principles, which principles provide that personal data shall be:"
Miami University-Middletown,Sub Link,Privacy Statement | Miami University,"The information contained in this policy explains the Internet privacy policy and practices that Miami University has adopted for its official Web pages. In legal terms, it shall not be construed as a contractual promise, and the university reserves the right to amend it at any time without notice. Neither Miami University nor any of its units, programs, employees, agents, or individual trustees shall be held liable for any improper or incorrect use of the information described and/or contained in the university website and assumes no responsibility for anyone's use of the information."
Miami University-Middletown,Sub Link,Privacy Statement | Miami University,infoprivacy@miamioh.edu
Northern Michigan University,Sub Link,Web Site Privacy Statement | NMU Marketing and Communications,Web Site Privacy Statement | NMU Marketing and Communications
Northern Michigan University,Sub Link,Web Site Privacy Statement | NMU Marketing and Communications,"
  Web Site Privacy Statement
 - NMU Marketing and Communications"
Northern Michigan University,Sub Link,Web Site Privacy Statement | NMU Marketing and Communications,"
  Web Site Privacy Statement
"
Northern Michigan University,Sub Link,Web Site Privacy Statement | NMU Marketing and Communications,"Thank you for visiting the Northern Michigan University (NMU) website. Your privacy is important to us and this privacy statement explains our information gathering and dissemination practices. Our statement outlines the information we may collect, how we protect it, how we use it, and how you can elect to change your privacy settings. By using this website, you agree to the terms of this privacy statement."
Northern Michigan University,Sub Link,Web Site Privacy Statement | NMU Marketing and Communications,NMU’s vendor privacy agreement
Northern Michigan University,Sub Link,Web Site Privacy Statement | NMU Marketing and Communications,vendor privacy agreement
Northern Michigan University,Sub Link,Web Site Privacy Statement | NMU Marketing and Communications,"As our university grows and changes, and as technology and Internet use and practices change, Northern Michigan University may, from time to time, determine that changes in its policies, potentially including this privacy statement, are prudent. If any such changes are made, they will be posted on this website. Therefore you should review this website’s privacy statement and other policies posted on this site for potential changes when you return to the site for future visits."
Northern Michigan University,Sub Link,Web Site Privacy Statement | NMU Marketing and Communications,"This privacy statement was last updated on May 25, 2021."
Northern Michigan University,Sub Link,Web Site Privacy Statement | NMU Marketing and Communications,"If you have questions or comments related to our privacy practices, wish to see the personal identifying information we have collected about you from this site, or if you believe any information we have is incorrect and you wish to correct it, please contact us at the e-mail address or phone number provided below. If we change or delete information in response to your request, we will cease to use it; however, some residual information may remain in backup records or records of deletions."
Northern Michigan University,Sub Link,Web Site Privacy Statement | NMU Marketing and Communications,"If you have other questions or comments about our privacy policies, please contact us at edesign@nmu.edu or 906-227-2720. "
Colorado State University Pueblo,Sub Link,"
      



Privacy Statement |  | CSU Pueblo

    ","
      



Privacy Statement |  | CSU Pueblo

    "
Colorado State University Pueblo,Sub Link,"
      



Privacy Statement |  | CSU Pueblo

    ",Privacy Statement
Colorado State University Pueblo,Sub Link,"
      



Privacy Statement |  | CSU Pueblo

    ",Commitment to Individual Privacy
Colorado State University Pueblo,Sub Link,"
      



Privacy Statement |  | CSU Pueblo

    ","Colorado State University-Pueblo is committed to protecting the privacy and accuracy of confidential information submitted by employees, students, and visitors to our Web site. We do not actively share personal information gathered. However, because Colorado State University-Pueblo is a public institution, some information collected from the Colorado State University-Pueblo Web site may be subject to the Colorado Public (Open) Records Act. Thus, in some cases we may be compelled by law to release information gathered from our Web servers. This may include server log information, e-mail messages sent to an individual identified on the Web site, and information collected from Web-based forms."
Colorado State University Pueblo,Sub Link,"
      



Privacy Statement |  | CSU Pueblo

    ",Family Educational Rights and Privacy Act (20 U.S.C. §1232g)
Colorado State University Pueblo,Sub Link,"
      



Privacy Statement |  | CSU Pueblo

    ","Colorado State University-Pueblo also complies with the Family Educational Rights and Privacy Act (FERPA), which generally prohibits the release of students' education records without consent. FERPA only applies to currently enrolled students. For more information on FERPA please refer to the Student Rights and Responsibilities Section of the Colorado State University-Pueblo General Catalog."
Suffolk County Community College,Sub Link,Website Privacy Statement,Website Privacy Statement
Suffolk County Community College,Sub Link,Website Privacy Statement,Privacy Statement
Suffolk County Community College,Sub Link,Website Privacy Statement,"Suffolk County Community College treats the privacy of personal data in the College's
                              possession as a serious matter and complies with applicable data privacy and protection
                              laws and regulations."
Suffolk County Community College,Sub Link,Website Privacy Statement,"We and our third-party vendors collect certain information regarding your use of www.sunysuffolk.edu,
                              such as your IP address, browser type, date and time you visited the site, and pages
                              or services you accessed on the site. Your session and the pages you visit on www.sunysuffolk.edu
                              will be tracked, but you will remain anonymous. We may use your IP address to identify
                              the general geographic area from which you are accessing www.sunysuffolk.edu. We do
                              not install any applications to monitor individuals that visit www.sunysuffolk.edu.
                              We connect data from different systems but do not link IP addresses to any personal
                              information. None of the foregoing information is deemed to constitute personal information.
                              We may also collect other information as described in this Privacy Statement."
Suffolk County Community College,Sub Link,Website Privacy Statement,"For purposes of this Privacy Statement, ""personal information"" means any information
                              concerning a natural person, as opposed for instance to a corporate entity, which,
                              because of name, number, symbol, mark, or other identifier, can be used to identify
                              that natural person. Personal information about you is only collected when you provide
                              that information voluntarily by sending an email or by initiating an online transaction,
                              such as an application, registration form, or other transaction. The College does
                              not knowingly collect personal information from children under the age of 18 through
                              this website. Users are cautioned, however, that the collection of personal information
                              provided by an individual in an email or through an online transaction will be treated
                              the same as information given by an adult."
Suffolk County Community College,Sub Link,Website Privacy Statement,"We use the information we gather from you for systems administration purposes, abuse
                              prevention, and to track user trends, and for the other purposes described in this
                              Privacy Statement. If you send us an email, your email address and the information
                              contained in your email may be used to send you information, respond to inquiries,
                              address other requests or questions, or to forward your email for appropriate action.
                              Your email address is not collected for commercial marketing purposes, and we do not
                              share, sell, or distribute your email address for commercial marketing purposes."
