error,frequency (percentage)
HTTP Error 404: Not Found,15.443012
HTTP Error 403: Forbidden,15.141431
HTTP Error 999: Request denied,10.700915
'utf-8' codec can't decode byte 0xe2 in position 10: invalid continuation byte,5.043677
HTTP Error 429: Too Many Requests,3.161398
"[Errno 8] nodename nor servname provided, or not known",3.1198
[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129),2.558236
'utf-8' codec can't decode byte 0xb5 in position 11: invalid start byte,2.277454
'utf-8' codec can't decode byte 0xaa in position 10: invalid start byte,2.267055
HTTP Error 400: Bad Request,2.111065
[Errno 60] Operation timed out,1.497504
HTTP Error 401: Unauthorized,0.686356
HTTP Error 417: ,0.675957
HTTP Error 406: Not Acceptable,0.655158
'utf-8' codec can't decode byte 0xc4 in position 10: invalid continuation byte,0.561564
HTTP Error 500: Internal Server Error,0.540765
HTTP Error 503: Service Unavailable,0.509567
HTTP Error 308: Permanent Redirect,0.488769
[Errno 61] Connection refused,0.46797
"HTTP Error 302: The HTTP server returned a redirect error that would lead to an infinite loop.
The last 30x error message was:
Found",0.457571
'utf-8' codec can't decode byte 0x8b in position 1: invalid start byte,0.436772
'utf-8' codec can't decode byte 0xff in position 0: invalid start byte,0.353577
[Errno 54] Connection reset by peer,0.249584
'utf-8' codec can't decode byte 0xd3 in position 10: invalid continuation byte,0.218386
encoding with 'idna' codec failed (UnicodeError: label too long),0.207987
HTTP Error 404: ,0.197587
"HTTP Error 302: The HTTP server returned a redirect error that would lead to an infinite loop.
The last 30x error message was:
Moved Temporarily",0.187188
'utf-8' codec can't decode byte 0x89 in position 0: invalid start byte,0.176789
HTTP Error 403: FORBIDDEN,0.176789
'utf-8' codec can't decode byte 0xe2 in position 11: invalid continuation byte,0.176789
[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1129),0.166389
[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1129),0.166389
HTTP Error 410: Gone,0.15599
HTTP Error 405: Not Allowed,0.15599
'utf-8' codec can't decode byte 0xc7 in position 10: invalid continuation byte,0.135191
Remote end closed connection without response,0.124792
HTTP Error 500: ,0.124792
'utf-8' codec can't decode byte 0xa1 in position 11: invalid start byte,0.124792
HTTP Error 403: Not authenticated.,0.114393
[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1129),0.103993
HTTP Error 500: Server Error,0.103993
HTTP Error 417: Expectation Failed,0.103993
HTTP Error 429: Request denied,0.103993
"HTTP Error 301: The HTTP server returned a redirect error that would lead to an infinite loop.
The last 30x error message was:
Moved Permanently",0.083195
no host given,0.083195
"HTTP Error 302: The HTTP server returned a redirect error that would lead to an infinite loop.
The last 30x error message was:
",0.083195
'utf-8' codec can't decode byte 0x9c in position 147: invalid start byte,0.083195
'utf-8' codec can't decode byte 0xf6 in position 10: invalid start byte,0.083195
URL can't contain control characters. '/mailto: ugradinfo@cs.kent.edu' (found at least ' '),0.083195
unknown url type: mailto,0.072795
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.ncahigherlearningcommission.org'. (_ssl.c:1129)",0.062396
EOF occurred in violation of protocol (_ssl.c:1129),0.062396
HTTP Error 403: ,0.062396
HTTP Error 599: ,0.051997
HTTP Error 404: 404,0.051997
'utf-8' codec can't decode byte 0xa9 in position 60880: invalid start byte,0.051997
'utf-8' codec can't decode byte 0xa9 in position 45851: invalid start byte,0.051997
'utf-8' codec can't decode byte 0xa9 in position 60878: invalid start byte,0.051997
HTTP Error 409: Conflict,0.051997
HTTP Error 308: Redirected Permanently,0.051997
HTTP Error 404: NOT FOUND,0.041597
HTTP Error 300: Multiple Choices,0.041597
'utf-8' codec can't decode byte 0x9c in position 145: invalid start byte,0.041597
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.texashomelandsecurity.com'. (_ssl.c:1129)",0.041597
'ascii' codec can't encode character '\xf1' in position 57: ordinal not in range(128),0.041597
URL can't contain control characters. '/pdf/Northeastern University 2023-2024 Undergraduate Day Catalog.pdf' (found at least ' '),0.041597
URL can't contain control characters. '/pdf/Northeastern University 2023-2024 CPS Undergraduate Catalog.pdf' (found at least ' '),0.041597
URL can't contain control characters. '/pdf/Northeastern University 2023-2024 Graduate Catalog.pdf' (found at least ' '),0.041597
URL can't contain control characters. '/pdf/Northeastern University 2023-2024 Course Descriptions.pdf' (found at least ' '),0.041597
HTTP Error 503: Service Temporarily Unavailable,0.031198
'utf-8' codec can't decode byte 0xb1 in position 7685: invalid start byte,0.031198
URL can't contain control characters. '/pdf/2021-2023 UTSA Graduate Catalog.pdf' (found at least ' '),0.031198
HTTP Error 302: Found - Redirection to url 'mailto:?subject=&body=https%3A%2F%2Fwww.ccny.cuny.edu%2Fcompsci%2Fbs-computer-science' is not allowed,0.031198
'utf-8' codec can't decode byte 0xd7 in position 23712: invalid continuation byte,0.031198
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.osu-tulsa.okstate.edu'. (_ssl.c:1129)",0.031198
URL can't contain control characters. 'www.pupr.edu/computer-science/&text=Computer Science&via=pupr_edu' (found at least ' '),0.031198
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'bls.gov'. (_ssl.c:1129)",0.031198
'utf-8' codec can't decode byte 0xd2 in position 16: invalid continuation byte,0.031198
HTTP Error 500: 500,0.031198
unknown url type: javascript,0.031198
HTTP Error 404: Content Not Found,0.031198
'ascii' codec can't encode character '\xf1' in position 9: ordinal not in range(128),0.031198
URL can't contain control characters. '/pdf/2022-2023 UTSA Student Policies.pdf' (found at least ' '),0.031198
URL can't contain control characters. '/pdf/2023-2024 WVU Institute of Technology Academic Catalog.pdf' (found at least ' '),0.031198
URL can't contain control characters. '/pdf/2023-2024 WVU Graduate and Professional Course Descriptions.pdf' (found at least ' '),0.031198
'utf-8' codec can't decode byte 0x9c in position 146: invalid start byte,0.031198
'utf-8' codec can't decode byte 0x91 in position 15: invalid start byte,0.031198
URL can't contain control characters. '/pdf/2023-2024 WVU Potomac State College Academic Catalog.pdf' (found at least ' '),0.031198
'utf-8' codec can't decode byte 0x96 in position 16761: invalid start byte,0.031198
URL can't contain control characters. '/pdf/2023-2024 WVU Potomac State College Course Descriptions.pdf' (found at least ' '),0.031198
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'seiventures.com'. (_ssl.c:1129)",0.031198
URL can't contain control characters. '/pdf/2023-2024 WVU Undergraduate Course Descriptions.pdf' (found at least ' '),0.031198
URL can't contain control characters. '/pdf/2023-2024 WVU Institute of Technology Course Descriptions.pdf' (found at least ' '),0.031198
HTTP Error 403: HTTP Forbidden,0.031198
URL can't contain control characters. '/pdf/2023-2024 WVU Undergraduate Academic Catalog.pdf' (found at least ' '),0.031198
URL can't contain control characters. '/pdf/2023-2024 WVU Graduate and Professional Academic Catalog.pdf' (found at least ' '),0.031198
'utf-8' codec can't decode byte 0xbf in position 10: invalid start byte,0.031198
[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129),0.031198
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/MAT_267_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=MAT&catalogNbr=267',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_259_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=259',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_230_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=230',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_240_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=240',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/MAT_243_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=MAT&catalogNbr=243',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_355_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=355',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_120_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=120',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/MAT_266_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=MAT&catalogNbr=266',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CSE_205_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CSE&catalogNbr=205',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/MAT_265_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=MAT&catalogNbr=265',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/FSE_100_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=FSE&catalogNbr=100',0.020799
URL can't contain control characters. '/\nmailto:info@vccs.edu' (found at least '\n'),0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/ENG_108_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=ENG&catalogNbr=108',0.020799
