error,frequency (percentage)
GROUPED URL can't contain control characters,16.618136439267886
HTTP Error 404: Not Found,15.443012
HTTP Error 403: Forbidden,15.141431
GROUPED 'utf-8' codec can't decode byte,15.016638935108153
HTTP Error 999: Request denied,10.700915
HTTP Error 429: Too Many Requests,3.161398
"[Errno 8] nodename nor servname provided, or not known",3.1198
[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129),2.558236
HTTP Error 400: Bad Request,2.111065
[Errno 60] Operation timed out,1.497504
HTTP Error 401: Unauthorized,0.686356
HTTP Error 417: ,0.675957
HTTP Error 406: Not Acceptable,0.655158
HTTP Error 500: Internal Server Error,0.540765
HTTP Error 503: Service Unavailable,0.509567
HTTP Error 308: Permanent Redirect,0.488769
[Errno 61] Connection refused,0.46797
"HTTP Error 302: The HTTP server returned a redirect error that would lead to an infinite loop.
The last 30x error message was:
Found",0.457571
[Errno 54] Connection reset by peer,0.249584
encoding with 'idna' codec failed (UnicodeError: label too long),0.207987
HTTP Error 404: ,0.197587
"HTTP Error 302: The HTTP server returned a redirect error that would lead to an infinite loop.
The last 30x error message was:
Moved Temporarily",0.187188
HTTP Error 403: FORBIDDEN,0.176789
[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1129),0.166389
[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1129),0.166389
HTTP Error 410: Gone,0.15599
HTTP Error 405: Not Allowed,0.15599
HTTP Error 500: ,0.124792
Remote end closed connection without response,0.124792
HTTP Error 403: Not authenticated.,0.114393
HTTP Error 500: Server Error,0.103993
HTTP Error 417: Expectation Failed,0.103993
HTTP Error 429: Request denied,0.103993
[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1129),0.103993
"HTTP Error 301: The HTTP server returned a redirect error that would lead to an infinite loop.
The last 30x error message was:
Moved Permanently",0.083195
no host given,0.083195
"HTTP Error 302: The HTTP server returned a redirect error that would lead to an infinite loop.
The last 30x error message was:
",0.083195
unknown url type: mailto,0.072795
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.ncahigherlearningcommission.org'. (_ssl.c:1129)",0.062396
EOF occurred in violation of protocol (_ssl.c:1129),0.062396
HTTP Error 403: ,0.062396
HTTP Error 409: Conflict,0.051997
HTTP Error 308: Redirected Permanently,0.051997
HTTP Error 599: ,0.051997
HTTP Error 404: 404,0.051997
HTTP Error 404: NOT FOUND,0.041597
HTTP Error 300: Multiple Choices,0.041597
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.texashomelandsecurity.com'. (_ssl.c:1129)",0.041597
'ascii' codec can't encode character '\xf1' in position 57: ordinal not in range(128),0.041597
HTTP Error 404: Content Not Found,0.031198
[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129),0.031198
HTTP Error 403: HTTP Forbidden,0.031198
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'seiventures.com'. (_ssl.c:1129)",0.031198
'ascii' codec can't encode character '\xf1' in position 9: ordinal not in range(128),0.031198
HTTP Error 302: Found - Redirection to url 'mailto:?subject=&body=https%3A%2F%2Fwww.ccny.cuny.edu%2Fcompsci%2Fbs-computer-science' is not allowed,0.031198
unknown url type: javascript,0.031198
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'bls.gov'. (_ssl.c:1129)",0.031198
"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.osu-tulsa.okstate.edu'. (_ssl.c:1129)",0.031198
HTTP Error 500: 500,0.031198
HTTP Error 503: Service Temporarily Unavailable,0.031198
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CEE_440_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CEE&catalogNbr=440',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CEE_475_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CEE&catalogNbr=475',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CEE_474_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CEE&catalogNbr=474',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CEE_467_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CEE&catalogNbr=467',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CEE_466_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CEE&catalogNbr=466',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CEE_462_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CEE&catalogNbr=462',0.020799
unknown url type: '/major-map/courseInfo?tooltipUrl=/programs/tooltipdynamic/course2/CEE_452_&catalogUrl=https://catalog.apps.asu.edu/catalog/courses/courselist?subject=CEE&catalogNbr=452',0.020799
