name,error
Aaniiih Nakoda College,"'utf-8' codec can't decode byte 0xe2 in position 10: invalid continuation byte,HTTP Error 403: Forbidden"
Abilene Christian University,"HTTP Error 403: Forbidden,HTTP Error 404: Not Found,HTTP Error 999: Request denied"
Abraham Baldwin Agricultural College,"HTTP Error 405: Not Allowed,HTTP Error 429: Too Many Requests,HTTP Error 403: Forbidden"
Abraham Lincoln University,"HTTP Error 404: Not Found,'utf-8' codec can't decode byte 0xe2 in position 10: invalid continuation byte,HTTP Error 429: Too Many Requests,URL can't contain control characters. '/_files/_pdfs/LU HRM 101 Equal Employment Opportunity Nondiscrimination and Affirmative Action Review Date 08312013.pdf' (found at least ' '),HTTP Error 999: Request denied"
Academy College,"HTTP Error 403: Forbidden,HTTP Error 404: Not Found,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)"
Academy of Art University,"'utf-8' codec can't decode byte 0xe2 in position 10: invalid continuation byte,'utf-8' codec can't decode byte 0xb5 in position 11: invalid start byte,HTTP Error 404: Not Found,HTTP Error 403: Forbidden,HTTP Error 429: Too Many Requests"
Adams State University,"HTTP Error 404: Not Found,HTTP Error 999: Request denied"
Adelphi University,"HTTP Error 404: Not Found,HTTP Error 403: Forbidden,HTTP Error 429: Too Many Requests,HTTP Error 999: Request denied"
Advanced Technology Institute,"HTTP Error 403: Forbidden,URL can't contain control characters. ""/sharer/sharer.php?u=http%3A%2F%2Fcatalogue.usc.edu%2Fpreview_program.php%3Fcatoid%3D16%26poid%3D21295&t=I just discovered 'Computer Science (BS)' at University of Southern California"" (found at least ' '),URL can't contain control characters. '/intent/tweet?u=u=http%3A%2F%2Fcatalogue.usc.edu%2Fpreview_program.php%3Fcatoid%3D16%26poid%3D21295&t=Check out this program at University of Southern California' (found at least ' ')"
Aiken Technical College,"HTTP Error 400: Bad Request,[Errno 60] Operation timed out,'utf-8' codec can't decode byte 0xe2 in position 10: invalid continuation byte,HTTP Error 999: Request denied,HTTP Error 404: Not Found"
