name,link,error
River Parishes Community College,https://www.rpcc.edu/#main,HTTP Error 403: Forbidden
Lower Columbia College,https://services4.lowercolumbia.edu/employees/,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)
Bryant & Stratton College-Albany,https://www.bryantstratton.edu/student-experience/athletics/,HTTP Error 403: Forbidden
Princeton University,https://www.princeton.edu,HTTP Error 403: Forbidden
Great Basin College,https://www.gbcnv.edu/javascript:void(0),HTTP Error 404: Not Found
Alderson Broaddus University,https://free-apply.com/en,HTTP Error 403: Forbidden
Washington & Jefferson College,https://accessibe.com/blog/knowledgebase/screen-reader-guide,HTTP Error 403: Forbidden
Wilmington College,https://wilmingtonquakers.com,HTTP Error 404: Not Found
Lower Columbia College,https://www.lccreddevils.com/index.aspx,HTTP Error 404: Not Found
New College of Florida,https://www.ncf.edu/,HTTP Error 403: Forbidden
North Idaho College,https://www.nic.edu/mailto:accessibility@nic.edu,HTTP Error 404: Not Found
Cabrini University,https://banner.cabrini.edu/twbkwbis.P_Logout,HTTP Error 404: 
University of Michigan-Dearborn,https://umdearborn.edu/#main,HTTP Error 403: Forbidden
Bowling Green State University-Main Campus,https://www.bgsu.edu/javascript:void(0),HTTP Error 404: Not Found
Johnson & Wales University-Providence,https://www.jwu.edu/../../index.html,HTTP Error 403: Forbidden
Princeton University,https://www.cs.princeton.edu/javascript:void(0),HTTP Error 404: Not Found
Lindenwood University,https://lindenwood.smartcatalogiq.com/javascript:window.print(),HTTP Error 404: Not Found
Community College of Vermont,https://ccv.edu/covid-19/,HTTP Error 403: Forbidden
DePaul University,https://www.cdm.depaul.edu/#ctl00_PageBody,HTTP Error 418: 
Wilmington College,https://wordpress.wilmington.edu/wp-content/uploads/2023/08/2021-2022-Catalog-UPDATED-092021.pdf,'utf-8' codec can't decode byte 0xe2 in position 10: invalid continuation byte
North Idaho College,https://www.nicathletics.com/,HTTP Error 403: Forbidden
Arcadia University,https://arcadiaknights.com/,HTTP Error 404: Not Found
Washington & Jefferson College,https://www.claritas.com/sites/default/files/files/Claritas%20Comprehensive%20Privacy%20Policy%20-%20Jan%202019.pdf,HTTP Error 404: Not Found
Dickinson State University,https://dickinsonstate.smartcatalogiq.com/javascript:window.print(),HTTP Error 404: Not Found
Pacific Bible College,https://cdn.prod.website-files.com/63f6703947b99f64ee3a6e73/667366ad0ccf7237c1d38571_2024-2025-PBC-STU-CAT-%26-HNDBK-MASTER-FINAL-06-29-2024.pdf,HTTP Error 403: Forbidden
University of Massachusetts-Lowell,https://www.uml.edu/alumni/,HTTP Error 403: Forbidden
Norwich University,https://home.norwich.edu/javascript:void(0),HTTP Error 404: Not Found
Temple College,https://outlook.office.com/mail/,HTTP Error 417: 
University of Arkansas-Fort Smith,https://uafortsmithlions.com,HTTP Error 404: Not Found
Great Basin College,https://www.gbcnv.edu/financial/,'utf-8' codec can't decode byte 0x96 in position 44491: invalid start byte
Wilmington College,https://wordpress.wilmington.edu/wp-content/uploads/2023/08/2017-18-Catalog-Addendum-102517.pdf,'utf-8' codec can't decode byte 0xc4 in position 10: invalid continuation byte
Edward Waters University,https://www.ew.edu/#content,HTTP Error 403: Forbidden
Syracuse University,"https://www.facebook.com/sharer/sharer.php?u=http%3A%2F%2Fcoursecatalog.syr.edu%2Fpreview_program.php%3Fcatoid%3D38%26poid%3D19219&t=I just discovered 'Computer Science, BS' at Syracuse University","URL can't contain control characters. ""/sharer/sharer.php?u=http%3A%2F%2Fcoursecatalog.syr.edu%2Fpreview_program.php%3Fcatoid%3D38%26poid%3D19219&t=I just discovered 'Computer Science, BS' at Syracuse University"" (found at least ' ')"
University of Mount Olive,https://umo.edu/tel:18006530854,HTTP Error 404: Not Found
Syracuse University,http://twitter.com/intent/tweet?u=u=http%3A%2F%2Fcoursecatalog.syr.edu%2Fpreview_program.php%3Fcatoid%3D38%26poid%3D19219&t=Check out this program at Syracuse University,URL can't contain control characters. '/intent/tweet?u=u=http%3A%2F%2Fcoursecatalog.syr.edu%2Fpreview_program.php%3Fcatoid%3D38%26poid%3D19219&t=Check out this program at Syracuse University' (found at least ' ')
Seattle Pacific University,https://spu.edu/../../../../../_controls_new/Navigation/#,HTTP Error 400: Bad Request
Wilmington College,https://wordpress.wilmington.edu/wp-content/uploads/2023/08/2016-2017-WC-Catalog-61616.pdf,'utf-8' codec can't decode byte 0xb5 in position 11: invalid start byte
Central Michigan University,https://www2.cmich.edu/centrallink/account/Pages/default.aspx,"HTTP Error 307: The HTTP server returned a redirect error that would lead to an infinite loop.
The last 30x error message was:
Temporary Redirect"
University of Pittsburgh-Bradford,https://catalog.upp.pitt.edu//pittsburghpanthers.com/,HTTP Error 404: Not Found
Endicott College,https://www.endicott.edu/javascript:void(0);,HTTP Error 500: Internal Server Error
University of Michigan-Dearborn,https://umdearborn.edu/mailto: umd-cisundergrad@umich.edu,URL can't contain control characters. '/mailto: umd-cisundergrad@umich.edu' (found at least ' ')
Danville Area Community College,https://dacc.blackboard.com,'utf-8' codec can't decode byte 0xf1 in position 59320: invalid continuation byte
Syracuse University,https://courses.syracuse.edu/mailto:sueo@ecs.syr.edu.,HTTP Error 404: Not Found
Chapman University,https://catalog.chapman.edu/javascript:void(0),HTTP Error 403: Forbidden
Danville Area Community College,https://danvillejaguars.com/,HTTP Error 404: Not Found
Temple College,https://www.templecollegebookstore.com/home,HTTP Error 403: Forbidden
Great Basin College,https://www.gbcnv.edu/academics/drop.html,'utf-8' codec can't decode byte 0xa0 in position 43287: invalid start byte
Luna Community College,https://luna.edu/uploads/4bbdbbcc6246ec2d46804e03b18d910c00e300272a336faccf6e84a60fbf7259,'utf-8' codec can't decode byte 0xc4 in position 10: invalid continuation byte
Mission College,https://missioncollege.edu/#main,HTTP Error 403: Forbidden
Wilmington College,https://www.wilmington.edu/about/disclosures/,HTTP Error 308: Permanent Redirect
Oglethorpe University,https://oglethorpe.edu/,HTTP Error 403: Forbidden
South Puget Sound Community College,https://spsccathletics.com,HTTP Error 403: Forbidden
University of Michigan-Dearborn,https://www.linkedin.com/company/97215409,HTTP Error 999: Request denied
Pacific Bible College,https://goo.gl/maps/LyBawdooAWP8yDm26,HTTP Error 429: Too Many Requests
St Lawrence University,https://www.givecampus.com/d2mogb,HTTP Error 403: Forbidden
University of Michigan-Dearborn,https://goo.gl/maps/PA9cgeApXCX5dAyEA,HTTP Error 429: Too Many Requests
Pacific Bible College,https://pacificbible.edu/tel:(541)776-9942,HTTP Error 404: Not Found
Bryant & Stratton College-Albany,https://www.linkedin.com/school/bryant-stratton-college/,HTTP Error 999: Request denied
Cerro Coso Community College,https://www.linkedin.com/school/cerro-coso-community-college/,HTTP Error 999: Request denied
University of Maryland Global Campus,https://apply.umgc.edu,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)
Cerro Coso Community College,https://www.cerrocoso.edu/tel:(760)3846100,HTTP Error 404: Not Found
DePaul University,https://securelb.imodules.com/s/1906/19/interior.aspx?sid=1906&gid=2&pgid=853&cid=2668,HTTP Error 403: Forbidden
Great Basin College,https://www.gbc.bkstr.com/,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.gbc.bkstr.com'. (_ssl.c:1129)"
Mission College,https://misweb.cccco.edu/npc/492/npcalc.htm,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)
Columbia College,https://www.college.columbia.edu/about/dean/biography.php,HTTP Error 404: Not Found
Skidmore College,https://www.alumni.skidmore.edu,HTTP Error 403: Forbidden
University of Arkansas-Fort Smith,https://slbanformsp1-oc.uafs.edu:8888/banprod/hxskschd.FS_P_Schedule,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)
Chapman University,https://www.chapmanathletics.com/landing/index,HTTP Error 404: Not Found
Sul Ross State University,https://srinfo.sulross.edu/hb2504/uploads/syllabi/202320/CS_1320_001.pdf,'utf-8' codec can't decode byte 0xc4 in position 10: invalid continuation byte
Sul Ross State University,https://srinfo.sulross.edu/hb2504/uploads/cv/xiong_naixue_(neal)_nxx21lc.pdf,'utf-8' codec can't decode byte 0xe2 in position 10: invalid continuation byte
Bluffton University,https://www.findlayblufftonfuture.com/,HTTP Error 403: Forbidden
Sul Ross State University,https://srinfo.sulross.edu/survey.php?crn=20232021348,HTTP Error 404: Not Found
Westfield State University,https://www.bkstr.com/westfieldstore/home,HTTP Error 403: Forbidden
Cerro Coso Community College,https://www&action=de&path=/academics/departments/cisb/information-technology-department-courses.pcf,"[Errno 8] nodename nor servname provided, or not known"
Linfield University-McMinnville Campus,https://catalog.linfield.edu/azindex/,HTTP Error 404: Not Found
Estrella Mountain Community College,https://directory.estrellamountain.edu,HTTP Error 403: Forbidden
Palm Beach State College,https://studentcoursesearch.palmbeachstate.edu/javascript:void(0);,HTTP Error 400: Bad Request
University of Michigan-Dearborn,https://my.umdearborn.edu,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)
University of New Hampshire-Main Campus,https://www.linkedin.com/school/university-of-new-hampshire/,HTTP Error 999: Request denied
Columbia College,https://arthum.college.columbia.edu/,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)
Edward Waters University,https://www.ewctigerpride.com,HTTP Error 404: Not Found
Claremont Graduate University,https://www.cgu.edu/,HTTP Error 403: Forbidden
Kent State University at East Liverpool,https://www.kent.edu/mailto: ugradinfo@cs.kent.edu,URL can't contain control characters. '/mailto: ugradinfo@cs.kent.edu' (found at least ' ')
Fort Valley State University,https://fvsusports.com/index.aspx,HTTP Error 404: Not Found
Seattle Pacific University,https://spu.edu/ugcatalog/university-calendar,HTTP Error 404: Not Found
Kent State University at Geauga,https://www.kent.edu/mailto: ugradinfo@cs.kent.edu,URL can't contain control characters. '/mailto: ugradinfo@cs.kent.edu' (found at least ' ')
St Lawrence University,https://www.stlawu.edu/tel:800-285-1856,HTTP Error 404: Not Found
Maranatha Baptist University,https://www.mbu.edu/alumni/,HTTP Error 403: Forbidden
Oglethorpe University,https://give.oglethorpe.edu/give,HTTP Error 404: Not Found
Lynn University,https://www.lynn.edu/#page-maincontent,HTTP Error 403: Forbidden
California Institute of the Arts,https://apply.calarts.edu/apply/status,HTTP Error 503: Service Unavailable
Wiley College,"https://mywiley.wileyc.edu/javascript:__doPostBack('siteNavBar$welcomeBackBarLoggedOut$ForgotPasswordLink','')",HTTP Error 400: Bad Request
Estrella Mountain Community College,https://www.estrellamountain.edu/javascript:void(0),HTTP Error 404: Not Found
Arcadia University,https://www.arcadia.edu/wp-content/uploads/2024/01/BS-in-Computer-Science-Arcadia-University-Course-Pathways-Course-Sequence.pdf,'utf-8' codec can't decode byte 0xe2 in position 11: invalid continuation byte
University of Maryland Global Campus,https://www.umgc.edu/tel:1-855-655-8682,HTTP Error 404: Not Found
Central Wyoming College,https://www.cwc.edu/#content,HTTP Error 403: Forbidden
Maranatha Baptist University,https://www.mbusabercats.com/landing/index,HTTP Error 404: Not Found
Mission College,https://mccsclub.netlify.com/,HTTP Error 404: Not Found
